Rank,Site,Manufacturer,Computer,Country,Year,Cores,RMax,RPeak,Nmax,Nhalf,Power,Processor Family,Processor,Proc. Frequency,Processor Cores,System Family,System Model,Operating System,Accelerator,Architecture,Segment,Application Area,Interconnect Family,Interconnect,Region,Continent,Publication Date
244,Internet Service,IBM,"xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE",China,2011,9420,53082.1,95330.4,0,0,285.74,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2530,6,IBM xSeries,xSeries x3650M3 Cluster,Linux,,Cluster,Industry,Service,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia,06/2011
245,Internet Service,IBM,"xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE",China,2011,9420,53082.1,95330.4,0,0,285.74,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2530,6,IBM xSeries,xSeries x3650M3 Cluster,Linux,,Cluster,Industry,Service,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia,06/2011
246,Internet Service,IBM,"xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE",China,2011,9420,53082.1,95330.4,0,0,285.74,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2530,6,IBM xSeries,xSeries x3650M3 Cluster,Linux,,Cluster,Industry,Service,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia,06/2011
247,Internet Service,IBM,"xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE",China,2011,9420,53082.1,95330.4,0,0,285.74,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2530,6,IBM xSeries,xSeries x3650M3 Cluster,Linux,,Cluster,Industry,Service,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia,06/2011
248,Internet Service,IBM,"xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE",China,2011,9420,53082.1,95330.4,0,0,285.74,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2530,6,IBM xSeries,xSeries x3650M3 Cluster,Linux,,Cluster,Industry,Service,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia,06/2011
249,Internet Service,IBM,"xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE",China,2011,9420,53082.1,95330.4,0,0,285.74,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2530,6,IBM xSeries,xSeries x3650M3 Cluster,Linux,,Cluster,Industry,Service,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia,06/2011
250,Technische Universitaet Wien,Oracle,"Sun Blade x2270/Supermicro SC827T-R1400, Xeon X5550 2.66 Ghz, Infiniband QDR",Austria,2011,5472,53070.0,58375.0,0,0,0.0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2660,4,Sun Blade System,Sun Blade X2270,Cell OS,,Cluster,Academic,Not Specified,Infiniband,Infiniband,Western Europe,Europe,06/2011
251,Georgia Institute of Technology,Penguin Computing,"Altus 704 Cluster, 6C Opteron 8431 2.4 Ghz, Infiniband",United States,2010,8640,53050.0,82944.0,1152000,0,246.0,AMD x86_64,AMD x86_64 Opteron Six Core,2400,6,Penguin Computing Cluster,Altus 704 Cluster,Linux,,Cluster,Research,Biology,Infiniband,Infinband DDR 4x,North America,Americas,06/2011
252,NNSA/Sandia National Laboratories,Dell,"PowerEdge 1850, 3.6 GHz, Infiniband",United States,2006,9024,53000.0,64972.8,0,0,0.0,Intel EM64T,Intel EM64T Xeon EM64T,3600,1,Dell PowerEdge Cluster,PowerEdge 1850,Linux,,Cluster,Research,Research,Infiniband,Infiniband,North America,Americas,06/2011
253,Financial Institution,Hewlett-Packard,"Cluster Platform 3000 SL160z, Xeon L55xx 2.26 GHz, GigE",United States,2011,11264,52997.9,101827.0,0,0,0.0,Intel EM64T,Intel EM64T Xeon L55xx (Nehalem-EP),2260,4,HP Cluster Platform 3000SL,Cluster Platform SL160z,Linux,,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
254,Logistic Services (E),Hewlett-Packard,"Cluster Platform 3000 SL160z, Xeon X5550 2.66 GHz, GigE",United States,2011,9492,52922.9,100995.0,0,0,0.0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2660,4,HP Cluster Platform 3000SL,Cluster Platform SL160z,Linux,,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
255,Logistic Services (E),Hewlett-Packard,"Cluster Platform 3000 SL160z, Xeon X5550 2.66 GHz, GigE",United States,2011,9492,52922.9,100995.0,0,0,0.0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2660,4,HP Cluster Platform 3000SL,Cluster Platform SL160z,Linux,,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
256,Logistic Services (E),Hewlett-Packard,"Cluster Platform 3000 SL160z, Xeon X5550 2.66 GHz, GigE",United States,2011,9492,52922.9,100995.0,0,0,0.0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2660,4,HP Cluster Platform 3000SL,Cluster Platform SL160z,Linux,,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
257,Logistic Services (E),Hewlett-Packard,"Cluster Platform 3000 SL160z, Xeon X5550 2.66 GHz, GigE",United States,2011,9492,52922.9,100995.0,0,0,0.0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2660,4,HP Cluster Platform 3000SL,Cluster Platform SL160z,Linux,,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
258,Geoscience (P),IBM,"iDataPlex DX360M3, Xeon 2.93, Infiniband",United States,2011,5112,52874.1,59912.6,0,0,159.75,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,IBM iDataPlex,iDataPlex DX360M3,Linux,,Cluster,Industry,Geophysics,Infiniband,Infiniband QDR,North America,Americas,06/2011
259,Geoscience (P),IBM,"iDataPlex DX360M3, Xeon 2.93, Infiniband",United States,2011,5112,52874.1,59912.6,0,0,159.75,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,IBM iDataPlex,iDataPlex DX360M3,Linux,,Cluster,Industry,Geophysics,Infiniband,Infiniband QDR,North America,Americas,06/2011
260,Geoscience (P),IBM,"iDataPlex DX360M3, Xeon 2.93, Infiniband",United States,2011,5112,52874.1,59912.6,0,0,159.75,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,IBM iDataPlex,iDataPlex DX360M3,Linux,,Cluster,Industry,Geophysics,Infiniband,Infiniband QDR,North America,Americas,06/2011
