Rank,Site,Manufacturer,Computer,Country,Year,Cores,RMax,RPeak,Nmax,Nhalf,Power,Processor Family,Processor,Proc. Frequency,Processor Cores,System Family,System Model,Operating System,Accelerator,Architecture,Segment,Application Area,Interconnect Family,Interconnect,Region,Continent,Publication Date
353,Moscow State University - Research Computing Center,SKIF/T-Platforms,"T-Platforms T60, Intel Quadcore 3Ghz, Infiniband DDR",Russia,2008,5000,47170.0,60000.0,750000,0,265.0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,T-Platforms Cluster,T-Platforms T60 Cluster,CentOS,,Cluster,Academic,Research,Infiniband,Infiniband DDR,Eastern Europe,Europe,06/2011
354,National Supercomputer Centre (NSC),Hewlett-Packard,"Cluster Platform 3000 DL140 Cluster, Xeon 53xx 2.33GHz Infiniband",Sweden,2008,6440,47030.0,60020.8,1158000,200000,0.0,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2333,4,HP Cluster Platform 3000,Cluster Platform 3000 DL140,Linux,,Cluster,Academic,Research,Infiniband,Infiniband,Northern Europe,Europe,06/2011
355,TerraPower/Intellectual Ventures,Hewlett-Packard,"Cluster Platform 3000 SL2x170z, Xeon X5580 3.33 GHz, Infiniband",United States,2011,4068,46930.0,54185.0,1301760,0,0.0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),3330,6,HP Cluster Platform 3000SL,Cluster Platform SL2x170z,Windows HPC 2008,,Cluster,Industry,Research,Infiniband,Infiniband QDR,North America,Americas,06/2011
356,University of Waterloo,Hewlett-Packard,"Cluster Platform SL165z G7, Opteron 6174 2.2 Ghz, Infiniband",Canada,2011,7680,46920.0,67584.0,0,0,0.0,AMD x86_64,AMD x86_64 Opteron 12 Core,2200,12,HP Cluster Platform 3000SL,Cluster Platform SL165z G7,Linux,,Cluster,Research,Service,Infiniband,Infiniband QDR,North America,Americas,06/2011
357,Network Company,IBM,"BladeCenter HS22 Cluster, Xeon QC E5xx 2.53 GHz, GigEthernet",China,2011,8288,46885.2,83874.6,0,0,262.03,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM BladeCenter,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia,06/2011
358,Network Company,IBM,"BladeCenter HS22 Cluster, Xeon QC E5xx 2.53 GHz, GigEthernet",China,2011,8288,46885.2,83874.6,0,0,262.03,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM BladeCenter,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia,06/2011
359,Network Company,IBM,"BladeCenter HS22 Cluster, Xeon QC E5xx 2.53 GHz, GigEthernet",China,2011,8288,46885.2,83874.6,0,0,262.03,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM BladeCenter,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia,06/2011
360,Semiconductor Company (C),IBM,"BladeCenter HS22 Cluster, Xeon QC GT 2.93 GHz, GigEthernet",United States,2010,8280,46839.9,97041.6,0,0,280.86,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,IBM BladeCenter,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
361,IT Service Provider,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon E5670 2.93 GHz, GigE",Denmark,2010,7554,46735.8,88532.9,0,0,0.0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,,Cluster,Industry,Information Service,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe,06/2011
362,IT Services Provider (D),Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon E5670 2.93 GHz, GigE",United States,2011,7554,46735.8,88532.9,0,0,0.0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
363,Logistic Services (C),Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon E5540 2.53 GHz, GigE",United States,2010,8784,46707.8,88894.1,0,0,0.0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
364,Nasza Klasa,Hewlett-Packard,"Cluster Platform 3000 BL2x220, L54xx 2.5 Ghz, GigE",Poland,2010,8464,46552.0,84640.0,0,0,0.0,Intel EM64T,Intel EM64T Xeon L54xx (Harpertown),2500,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL 2x220,Linux,,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Eastern Europe,Europe,06/2011
365,Financial Services (P),IBM,"xSeries x3650M2 Cluster, Xeon QC E55xx 2.53 Ghz, GigE",United Kingdom,2010,8096,46415.3,81931.5,0,0,255.96,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM xSeries,xSeries x3650M2 Cluster Xeon QC,Linux,,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe,06/2011
366,Service Provider,IBM,"xSeries x3550M3, Xeon X56xx 2.53 GHz, GigE",China,2011,8208,46252.0,83065.0,0,0,248.98,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2530,6,IBM xSeries,xSeries x3550M3 Cluster,Linux,,Cluster,Industry,Service,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia,06/2011
367,Service Provider,IBM,"xSeries x3550M3, Xeon X56xx 2.53 GHz, GigE",China,2011,8208,46252.0,83065.0,0,0,248.98,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2530,6,IBM xSeries,xSeries x3550M3 Cluster,Linux,,Cluster,Industry,Service,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia,06/2011
368,IT Services Provider (D),Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon X5670 2.93 GHz, GigE",United States,2011,7458,46158.6,87407.8,0,0,0.0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
369,Arrow Enterprise Computing Solutions,Hewlett-Packard,Cluster Platform 4000 BL465c G7,United States,2011,10020,46112.5,88176.0,0,0,0.0,AMD x86_64,AMD x86_64 Opteron 12 Core,2200,12,HP Cluster Platform 4000BL,Cluster Platform 4000 BL465c G7,Linux,,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
370,Los Alamos National Laboratory,SGI,"SGI Altix XE 1300 Cluster Solutions, 2.66GHZ, Infiniband",United States,2010,4896,46081.7,52093.4,0,0,0.0,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2667,4,SGI Altix,SGI Altix XE 1300,SLES10 + SGI ProPack 5,,MPP,Research,Not Specified,Infiniband,Infiniband DDR,North America,Americas,06/2011
371,Distribution,IBM,"xSeries x3550 Cluster, QC HT Xeon 2.66 GHz, Infiniband",United States,2010,6624,46040.0,70638.3,0,0,384.19,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2666,4,IBM xSeries,xSeries x3550 Cluster Xeon quad core HT,Linux,,Cluster,Industry,Database,Infiniband,Infiniband,North America,Americas,06/2011
372,HPC2N - Umea University,IBM,"BladeCenter HS21 Cluster, Xeon QC HT 2.5 GHz, IB, Windows HPC 2008/CentOS",Sweden,2008,5376,46040.0,53760.0,1113600,150000,173.21,Intel EM64T,Intel EM64T Xeon L54xx (Harpertown),2500,4,IBM BladeCenter,"BladeCenter HS21 Cluster, HT Xeon quad core",Windows HPC 2008,,Cluster,Academic,Not Specified,Infiniband,Infiniband,Northern Europe,Europe,06/2011
373,IT Provider (P),Hewlett-Packard,"HP DL160 Cluster G6, Xeon X5650 2.66 GHz, GigE",United States,2011,8208,45988.0,87333.0,0,0,0.0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,HP Cluster Platform 3000,HP DL160 Cluster G6,Linux,,Cluster,Industry,Information Service,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
374,IT Service Provider,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon E5650 2.66 GHz, GigE",United States,2010,8196,45923.1,87205.4,0,0,0.0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
375,Semiconductor Company (P),Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",United States,2011,7248,45819.7,86976.0,0,0,0.0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
376,Semiconductor Company (P),Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",United States,2011,7248,45819.7,86976.0,0,0,0.0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
377,Communications,IBM,"xSeries x3650M2 Cluster Xeon QC GT 2.66 GHz, GigEthernet",France,2011,8088,45754.1,86250.4,0,0,354.86,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2660,4,IBM xSeries,xSeries x3650 Cluster Xeon quad core,Linux,,Cluster,Industry,Telecomm,Gigabit Ethernet,Gigabit Ethernet,Western Europe,Europe,06/2011
378,Communications,IBM,"xSeries x3650M2 Cluster Xeon QC GT 2.66 GHz, GigEthernet",France,2011,8088,45754.1,86250.4,0,0,354.86,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2660,4,IBM xSeries,xSeries x3650 Cluster Xeon quad core,Linux,,Cluster,Industry,Telecomm,Gigabit Ethernet,Gigabit Ethernet,Western Europe,Europe,06/2011
379,Ohio Supercomputer Center,IBM,"xSeries x3455 Cluster Opteron, DC 2.6 GHz/QC 2.5 GHz, Infiniband",United States,2009,9304,45730.0,73072.0,1200000,0,637.0,AMD x86_64,AMD x86_64 Opteron Quad Core,2500,4,IBM xSeries,xSeries x3455 Cluster Opteron,Linux,,Cluster,Academic,Not Specified,Infiniband,Infiniband,North America,Americas,06/2011
380,IT Service Provider,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon X5570 2.93 GHz, GigE",United States,2010,7384,45713.5,86540.0,0,0,0.0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
381,Information Services,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon X5570 2.93 GHz, GigE",United States,2010,7384,45713.5,86540.0,0,0,0.0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,,Cluster,Industry,Information Service,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
382,DOE/SC/LBNL/NERSC,IBM,"iDataPlex, Xeon X55xx QC 2.66 GHz, Infiniband",United States,2010,4960,45701.9,52893.4,0,0,160.27,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2660,4,IBM iDataPlex,xSeries iDataPlex,Linux,,Cluster,Research,Not Specified,Infiniband,Infiniband,North America,Americas,06/2011
383,Government,IBM,"BladeCenter HS22 Cluster, Xeon QC X55xx 2.53 GHz, GigEthernet",United States,2010,7952,45617.3,80474.2,0,0,251.41,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM BladeCenter,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,,Cluster,Government,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
384,IT Service Provider,Hewlett-Packard,"Cluster Platform 3000 BL460c G7, Xeon X5650 2.66 Ghz, GigE",United States,2011,8124,45532.0,86439.4,0,0,0.0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G7,Linux,,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
385,Telecommunications,IBM,"BladeCenter HS22 Cluster, Xeon QC GT 2.53 GHz, GigEthernet",Italy,2010,8048,45527.5,81445.8,0,0,254.44,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM BladeCenter,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Southern Europe,Europe,06/2011
386,Government,IBM,"xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE",Russia,2011,8076,45508.6,81729.1,0,0,244.97,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2530,6,IBM xSeries,xSeries x3650M3 Cluster,Linux,,Cluster,Government,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Eastern Europe,Europe,06/2011
387,IT Service Provider (D),Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon E5540 2.53 GHz, GigE",United States,2010,8520,45349.5,86222.4,0,0,0.0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,,Cluster,Industry,Information Service,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
388,Hewlett-Packard,Hewlett-Packard,"HP ProLiant SL390s G7 Xeon X5650, Nvidia M2070, Infiniband QDR",United States,2011,1352,45316.2,86979.4,0,0,0.0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,HP Cluster Platform 3000SL,Cluster Platform SL390s G7,Linux,NVIDIA 2070,Cluster,Vendor,Not Specified,Infiniband,Infiniband QDR,North America,Americas,06/2011
389,Actebis Peacock GmbH,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon L5640 2.26 GHz, 10G",Germany,2011,6372,45085.4,57602.9,0,0,0.0,Intel EM64T,Intel EM64T Xeon L56xx (Westmere-EP),2260,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,,Cluster,Industry,Service,Gigabit Ethernet,10G Ethernet,Western Europe,Europe,06/2011
390,Actebis Peacock GmbH,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon L5640 2.26 GHz, 10G",Germany,2011,6372,45085.4,57602.9,0,0,0.0,Intel EM64T,Intel EM64T Xeon L56xx (Westmere-EP),2260,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,,Cluster,Industry,Service,Gigabit Ethernet,10G Ethernet,Western Europe,Europe,06/2011
391,Actebis Peacock GmbH,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon L5640 2.26 GHz, 10G",Germany,2011,6372,45085.4,57602.9,0,0,0.0,Intel EM64T,Intel EM64T Xeon L56xx (Westmere-EP),2260,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,,Cluster,Industry,Service,Gigabit Ethernet,10G Ethernet,Western Europe,Europe,06/2011
392,Hosting Services,Hewlett-Packard,"Cluster Platform 3000 BL460c G1, Xeon L5410 2.33 GHz, GigE",United States,2009,9216,45056.8,85893.1,0,0,0.0,Intel EM64T,Intel EM64T Xeon L54xx (Harpertown),2333,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G1,Linux,,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
393,Network Company (B),IBM,"xSeries x3650M2 Cluster Xeon QC GT 2.66 GHz, GigEthernet",United States,2011,7952,44984.0,84609.0,0,0,348.89,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2660,4,IBM xSeries,xSeries x3650 Cluster Xeon quad core,Linux,,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
394,Logistic Services (C),Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon E5540 2.53 GHz, GigE",United States,2010,8444,44958.0,85453.3,0,0,0.0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
395,Geoscience,IBM,"iDataPlex DX360M3, Xeon 2.8, Infiniband",United States,2011,4536,44835.0,50803.0,0,0,106.31,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2800,6,IBM iDataPlex,iDataPlex DX360M3,Linux,,Cluster,Industry,Geophysics,Infiniband,Infiniband QDR,North America,Americas,06/2011
396,Geoscience,IBM,"iDataPlex DX360M3, Xeon 2.8, Infiniband",United States,2011,4536,44835.0,50803.0,0,0,106.31,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2800,6,IBM iDataPlex,iDataPlex DX360M3,Linux,,Cluster,Industry,Geophysics,Infiniband,Infiniband QDR,North America,Americas,06/2011
397,Government,IBM,"BladeCenter HS22 Cluster, Xeon QC GT 2.53 GHz, Infiniband",Russia,2010,4864,44817.3,49223.7,0,0,174.15,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM BladeCenter,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,,Cluster,Government,Not Specified,Infiniband,Infiniband,Eastern Europe,Europe,06/2011
398,Engineering Company,IBM,"xSeries x3650M3, Xeon X56xx 2.93 GHz, Infiniband",United States,2011,4332,44806.0,50771.0,0,0,163.89,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,IBM xSeries,xSeries x3650M3 Cluster,Linux,,Cluster,Industry,Service,Infiniband,Infiniband,North America,Americas,06/2011
399,Web Company (F),Hewlett-Packard,"HP DL180 Cluster G6, Xeon E5540 2.53 GHz, GigE",United States,2011,8400,44731.2,85008.0,0,0,0.0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,HP Cluster Platform 3000,HP DL180 Cluster G6,Linux,,Cluster,Industry,WWW,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
400,Government,IBM,"BladeCenter HS22 Cluster, Xeon QC GT 2.53 GHz, GigEthernet",United States,2010,7896,44667.6,79907.5,0,0,249.64,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM BladeCenter,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,,Cluster,Government,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
401,Banking,IBM,"BladeCenter HS22 Cluster, Xeon X56xx 2.53 GHz, GigEthernet",Russia,2011,7920,44629.4,80150.4,0,0,202.0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2530,6,IBM BladeCenter,"BladeCenter HS22 Cluster, WM Xeon 6-core",Linux,,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,Eastern Europe,Europe,06/2011
402,Banking,IBM,"BladeCenter HS22 Cluster, Xeon X56xx 2.53 GHz, GigEthernet",Russia,2011,7920,44629.4,80150.4,0,0,202.0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2530,6,IBM BladeCenter,"BladeCenter HS22 Cluster, WM Xeon 6-core",Linux,,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,Eastern Europe,Europe,06/2011
403,IT Service Provider,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon E5520 2.26 GHz, GigE",United States,2010,9400,44544.4,84976.0,0,0,0.0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2267,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
404,Financial Institution (P),IBM,"BladeCenter HS22 Cluster, Xeon QC GT 2.53 GHz, GigEthernet",United Kingdom,2010,7872,44531.9,79664.6,0,0,248.88,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM BladeCenter,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe,06/2011
405,Financial Institution (P),IBM,"BladeCenter HS22 Cluster, Xeon QC GT 2.53 GHz, GigEthernet",United Kingdom,2010,7872,44531.9,79664.6,0,0,248.88,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM BladeCenter,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe,06/2011
406,Forschungszentrum Juelich (FZJ),IBM,"QPACE SFB TR Cluster, PowerXCell 8i, 3.2 GHz, 3D-Torus",Germany,2009,4608,44500.0,55705.6,487551,0,57.54,Power,PowerXCell 8i,3200,9,IBM Cluster,QPACE Cluster PowerXCell 8i,Linux,IBM PowerXCell 8i,Cluster,Research,Not Specified,Custom,Custom,Western Europe,Europe,06/2011
407,Universitaet Regensburg,IBM,"QPACE SFB TR Cluster, PowerXCell 8i, 3.2 GHz, 3D-Torus",Germany,2009,4608,44500.0,55705.6,487551,0,57.54,Power,PowerXCell 8i,3200,9,IBM Cluster,QPACE Cluster PowerXCell 8i,Linux,IBM PowerXCell 8i,Cluster,Academic,Not Specified,Custom,Custom,Western Europe,Europe,06/2011
408,Universitaet Wuppertal,IBM,"QPACE SFB TR Cluster, PowerXCell 8i, 3.2 GHz, 3D-Torus",Germany,2009,4608,44500.0,55705.6,487551,0,57.54,Power,PowerXCell 8i,3200,9,IBM Cluster,QPACE Cluster PowerXCell 8i,Linux,IBM PowerXCell 8i,Cluster,Academic,Not Specified,Custom,Custom,Western Europe,Europe,06/2011
409,IT Services Provider (D),Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon X5570 2.93 GHz, GigE",United States,2011,7132,44195.5,83587.0,0,0,0.0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,,Cluster,Industry,Information Service,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
410,Telecommunication Company,IBM,"BladeCenter HS22 Cluster, Xeon QC GT 2.53 GHz, GigEthernet",China,2010,7752,43853.0,78450.2,0,0,245.09,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM BladeCenter,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,,Cluster,Industry,Telecomm,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia,06/2011
411,Telecommunication Company,IBM,"BladeCenter HS22 Cluster, Xeon QC GT 2.53 GHz, GigEthernet",China,2010,7752,43853.0,78450.2,0,0,245.09,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM BladeCenter,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,,Cluster,Industry,Telecomm,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia,06/2011
412,Electronics,IBM,"xSeries x3550M2 Cluster Xeon QC GT 2.26 GHz, Infiniband",United States,2010,5320,43787.5,48241.8,0,0,233.42,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2267,4,IBM xSeries,xSeries x3550 Cluster Xeon quad core GT,Linux,,Cluster,Industry,Electronics,Infiniband,Infiniband,North America,Americas,06/2011
413,Web Content Provider,Hewlett-Packard,"HP DL160 Cluster G6, Xeon X5650 2.66 GHz, GigE",United States,2011,7800,43770.0,82992.0,0,0,0.0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,HP Cluster Platform 3000,HP DL160 Cluster G6,Linux,,Cluster,Industry,WWW,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
414,Financial Services (H),Hewlett-Packard,"Cluster Platform 3000 BL460c G1, Xeon L5420 2.5 GHz, GigE",United States,2009,8312,43752.4,83120.0,0,0,0.0,Intel EM64T,Intel EM64T Xeon L54xx (Harpertown),2500,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G1,Linux,,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
415,Bank (J),IBM,"xSeries x3650M3, Xeon X56xx 2.93 GHz, GigE",United Kingdom,2011,7728,43547.5,90572.2,0,0,246.01,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,IBM xSeries,xSeries x3650M3 Cluster,Linux,,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe,06/2011
416,Bank (J),IBM,"xSeries x3650M3, Xeon X56xx 2.93 GHz, GigE",United Kingdom,2011,7728,43547.5,90572.2,0,0,246.01,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,IBM xSeries,xSeries x3650M3 Cluster,Linux,,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe,06/2011
417,Actebis Peacock GmbH,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon L5640 2.26 GHz, 10G",Germany,2010,6144,43510.5,55541.8,0,0,0.0,Intel EM64T,Intel EM64T Xeon L56xx (Westmere-EP),2260,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,,Cluster,Industry,Service,Gigabit Ethernet,10G Ethernet,Western Europe,Europe,06/2011
418,Actebis Peacock GmbH,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon L5640 2.26 GHz, 10G",Germany,2010,6144,43510.5,55541.8,0,0,0.0,Intel EM64T,Intel EM64T Xeon L56xx (Westmere-EP),2260,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,,Cluster,Industry,Service,Gigabit Ethernet,10G Ethernet,Western Europe,Europe,06/2011
419,Arrow Enterprise Computing Solutions,Hewlett-Packard,"Cluster Platform 3000 BL460c G7, Xeon X5670 2.93 Ghz, GigE",United States,2011,7008,43447.4,82133.8,0,0,0.0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G7,Linux,,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
420,System Integrator (A),Hewlett-Packard,"HP ProLiant SL390s G7 Xeon 4C X5677, GigE",Taiwan,2011,5904,43404.4,81711.4,0,0,0.0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),3470,6,HP Cluster Platform 3000SL,Cluster Platform SL390s G7,Linux,,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia,06/2011
