Rank,Previous Rank,First Appearance,First Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Nmax,Nhalf,HPCG [TFlop/s],Power (kW),Power Source,Power Efficiency [GFlops/Watts],Memory,Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Continent,Site ID,System ID,Publication Date
11,10.0,56,10,Dammam-7,"Cray CS-Storm, Xeon Gold 6248 20C 2.5GHz, NVIDIA Tesla V100 SXM2, InfiniBand HDR 100",Saudi Aramco,HPE,Saudi Arabia,2020,Industry,672520,632960.0,22400.0,55423.56,5696640.0,,881.401,,,,,Cluster,Xeon Gold 6248 20C 2.5GHz,Intel Cascade lake,2500,RHEL 7.7,Linux,NVIDIA Tesla V100 SXM2,20,Xeon Gold 62xx (Cascade Lake),Cray CS-Storm,Cray CS-Storm,Infiniband,InfiniBand HDR 100,Asia,48751,179885,06/2021
12,,57,12,ABCI 2.0,"PRIMERGY GX2570 M6, Xeon Platinum 8360Y 36C 2.4GHz, NVIDIA A100 SXM4 40 GB, Infiniband HDR",National Institute of Advanced Industrial Science and Technology (AIST),Fujitsu,Japan,2021,Research,504000,451840.0,22208.72,54340.99,3435000.0,,,1600.32,Submitted,13.87767447,,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,2400,Linux,Linux,NVIDIA Tesla V100 SXM2,20,Xeon Gold,PRIMERGY GX2570 M6,Fujitsu PRIMERGY,Infiniband,Infiniband EDR,Asia,50762,179954,06/2021
13,,57,13,Wisteria/BDEC-01 (Odyssey),"PRIMEHPC FX1000, A64FX 48C 2.2GHz, Tofu interconnect D","Information Technology Center, The University of Tokyo",Fujitsu,Japan,2021,Academic,368640,,22121.0,25952.26,4853760.0,,817.577,1468.0,Submitted,15.06880109,,Cluster,A64FX 48C 2.2GHz,Fujitsu ARM,2200,Red Hat Enterprise Linux,Linux,,48,Fujitsu A64FX,PRIMEHPC FX1000,Fujitsu PRIMEHPC,Proprietary Network,Tofu interconnect D,Asia,50096,179962,06/2021
14,11.0,55,9,Marconi-100,"IBM Power System AC922, IBM POWER9 16C 3GHz, Nvidia Volta V100, Dual-rail Mellanox EDR Infiniband",CINECA,IBM,Italy,2019,Academic,347776,316160.0,21640.0,29354.0,2722137.0,,498.425,1476.0,Submitted,14.66124661,,Cluster,IBM POWER9 16C 3GHz,Power,3000,RHEL 7.6,Linux,Nvidia Volta V100,16,IBM POWER9,IBM Power System AC922, IBM Power Systems,Infiniband,Dual-rail Mellanox EDR Infiniband,Europe,47495,179845,06/2021
15,12.0,40,114,Piz Daint,"Cray XC50, Xeon E5-2690v3 12C 2.6GHz, Aries interconnect , NVIDIA Tesla P100",Swiss National Supercomputing Centre (CSCS),Cray/HPE,Switzerland,2017,Research,387872,319424.0,21230.0,27154.3,3743232.0,,496.978,2384.24,Submitted,8.904304936,,MPP,Xeon E5-2690v3 12C 2.6GHz,Intel Haswell,2600,Cray Linux Environment ,Linux,NVIDIA Tesla P100,12,Intel Xeon E5 (Haswell),Cray XC50,Cray XC,Custom Interconnect,Aries interconnect ,Europe,50422,177824,06/2021
16,13.0,46,6,Trinity,"Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Intel Xeon Phi 7250 68C 1.4GHz, Aries interconnect",DOE/NNSA/LANL/SNL,Cray/HPE,United States,2017,Research,979072,,20158.7,41461.15,12353536.0,,546.124,7578.1,Submitted,2.660125889,,MPP,Intel Xeon Phi 7250 68C 1.4GHz,Intel Xeon Phi,1400,Cray Linux Environment ,Linux,,68,Intel Xeon Phi,Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,North America,50334,178610,06/2021
17,15.0,52,8,SuperMUC-NG,"ThinkSystem SD650, Xeon Platinum 8174 24C 3.1GHz, Intel Omni-Path",Leibniz Rechenzentrum,Lenovo,Germany,2018,Academic,305856,,19476.6,26873.856,8402688.0,,207.844,,,,,Cluster,Xeon Platinum 8174 24C 3.1GHz,Intel Skylake,3100,SUSE Linux Enterprise Server 12 SP3,Linux,,24,Xeon Platinum,ThinkSystem SD650,Lenovo ThinkSystem,Omnipath,Intel Omni-Path,Europe,48248,179566,06/2021
18,16.0,56,16,Hawk,"Apollo 9000, AMD EPYC 7742 64C 2.25GHz, Mellanox HDR Infiniband",HLRS - Höchstleistungsrechenzentrum Stuttgart,HPE,Germany,2020,Research,698880,,19334.0,25159.68,9984000.0,,334.648,3905.83,Submitted,4.950036228,,Cluster,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),2250,CentOS Linux 8.1,Linux,,64,AMD Rome,Apollo 9000,HP Apollo,Infiniband,Mellanox HDR Infiniband,Europe,50543,179880,06/2021
19,,57,19,Ghawar-1,"HPE Cray EX, AMD EPYC 7702 64C 2GHz, Slingshot-10",Saudi Aramco,HPE,Saudi Arabia,2021,Industry,714240,,19256.0,22855.68,9791600.0,,381.723,,,,,MPP,AMD EPYC 7702 64C 2GHz,AMD Zen-2 (Rome),2000,SLES15 SP2,Linux,,64,AMD Rome,HPE Cray EX,HPE Cray EX,Gigabit Ethernet,Slingshot-10,Asia,48751,179929,06/2021
20,17.0,52,11,Lassen,"IBM Power System AC922, IBM POWER9 22C 3.1GHz, Dual-rail Mellanox EDR Infiniband, NVIDIA Tesla V100",DOE/NNSA/LLNL,IBM / NVIDIA / Mellanox,United States,2018,Research,288288,253440.0,18200.0,23047.2,5059584.0,,,,,,,Cluster,IBM POWER9 22C 3.1GHz,Power,3100,Red Hat Enterprise Linux,Linux,NVIDIA Tesla V100,22,IBM POWER9,IBM Power System AC922, IBM Power Systems,Infiniband,Dual-rail Mellanox EDR Infiniband,North America,49763,179567,06/2021
21,18.0,53,11,PANGEA III,"IBM Power System AC922, IBM POWER9 18C 3.45GHz, Dual-rail Mellanox EDR Infiniband, NVIDIA Volta GV100",Total Exploration Production,IBM,France,2019,Industry,291024,270720.0,17860.0,25025.81,5760000.0,,,1367.0,Submitted,13.06510607,,Cluster,IBM POWER9 18C 3.45GHz,Power,3450,RHEL 7.6,Linux,NVIDIA Volta GV100,18,IBM POWER9,IBM Power System AC922, IBM Power Systems,Infiniband,Dual-rail Mellanox EDR Infiniband,Europe,49546,179689,06/2021
22,,57,22,HiPerGator AI,"NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100, Infiniband HDR",University of Florida,Nvidia,United States,2021,Academic,138880,120960.0,17200.0,21314.72,3450528.0,,424.4344,582.63,Submitted,29.52130855,,Cluster,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),2250,Red Hat Enterprise Linux,Linux,NVIDIA A100,64,AMD Rome,NVIDIA DGX A100,NVIDIA DGX,Infiniband,Infiniband HDR,North America,49751,179940,06/2021
23,,57,23,Maru,"ThinkSystem SD650 V2, Xeon Platinum 8368Q 38C 2.6GHz, Infiniband HDR",Korean Meteorological Administration,Lenovo,South Korea,2021,Government,306432,,16753.0,25495.1424,7648896.0,,,15414.0,Submitted,1.08686908,,Cluster,Xeon Platinum 8368Q 38C 2.6GHz,Intel Ice Lake,2600,Linux,Linux,,38,Xeon® Platinum 83xx (Ice Lake),ThinkSystem SD650 V2,Lenovo ThinkSystem,Infiniband,Infiniband HDR,Asia,50890,179911,06/2021
24,,57,24,Guru,"ThinkSystem SD650 V2, Xeon Platinum 8368Q 38C 2.6GHz, Infiniband HDR",Korean Meteorological Administration,Lenovo,South Korea,2021,Government,306432,,16753.0,25495.1424,7648896.0,,,15414.0,Submitted,1.08686908,,Cluster,Xeon Platinum 8368Q 38C 2.6GHz,Intel Ice Lake,2600,Linux,Linux,,38,Xeon® Platinum 83xx (Ice Lake),ThinkSystem SD650 V2,Lenovo ThinkSystem,Infiniband,Infiniband HDR,Asia,50890,179912,06/2021
25,19.0,56,19,TOKI-SORA,"PRIMEHPC FX1000, A64FX 48C 2.2GHz, Tofu interconnect D",Japan Aerospace eXploration Agency,Fujitsu,Japan,2020,Research,276480,,16592.0,19464.2,4208640.0,,614.224,,,,,Cluster,A64FX 48C 2.2GHz,Fujitsu ARM,2200,Red Hat Enterprise Linux,Linux,,48,Fujitsu A64FX,PRIMEHPC FX1000,Fujitsu PRIMEHPC,Proprietary Network,Tofu interconnect D,Asia,50187,179895,06/2021
26,,57,26,Pioneer-EUS,"NDv4 cluster, AMD EPYC 7V12 48C 2.45GHz, NVIDIA A100, Infiniband HDR",Azure East US,Microsoft Azure,United States,2020,Vendor,157440,141696.0,16590.0,24557.23,2621376.0,,455.5562,,,,,Cluster,AMD EPYC 7V12 48C 2.45GHz,AMD Zen-2 (Rome),2450,Ubuntu 16.04.3 LTS,Linux,NVIDIA A100,48,AMD Rome,NDv4 cluster,Microsoft Azure Cluster,Infiniband,Infiniband HDR,North America,50871,179969,06/2021
27,,57,27,Pioneer-SCUS,"NDv4 cluster, AMD EPYC 7V12 48C 2.45GHz, NVIDIA A100, Infiniband HDR",Azure South Central US,Microsoft Azure,United States,2021,Vendor,157440,141696.0,16590.0,24557.23,2621376.0,,455.5562,,,,,Cluster,AMD EPYC 7V12 48C 2.45GHz,AMD Zen-2 (Rome),2450,Ubuntu 16.04.3 LTS,Linux,NVIDIA A100,48,AMD Rome,NDv4 cluster,Microsoft Azure Cluster,Infiniband,Infiniband HDR,North America,50870,179970,06/2021
28,,57,28,Pioneer-WEU,"NDv4 cluster, AMD EPYC 7V12 48C 2.45GHz, NVIDIA A100, Infiniband HDR",Azure West Europe,Microsoft Azure,Netherlands,2021,Vendor,157440,141696.0,16590.0,24557.23,2621376.0,,455.5562,,,,,Cluster,AMD EPYC 7V12 48C 2.45GHz,AMD Zen-2 (Rome),2450,Ubuntu 16.04.3 LTS,Linux,NVIDIA A100,48,AMD Rome,NDv4 cluster,Microsoft Azure Cluster,Infiniband,Infiniband HDR,Europe,50868,179968,06/2021
29,,57,29,Pioneer-WUS2,"NDv4 cluster, AMD EPYC 7V12 48C 2.45GHz, NVIDIA A100, Infiniband HDR",Azure West US 2,Microsoft Azure,United States,2021,Others,157440,141696.0,16590.0,24557.23,2621376.0,,455.5562,,,,,Cluster,AMD EPYC 7V12 48C 2.45GHz,AMD Zen-2 (Rome),2450,Ubuntu 16.04.3 LTS,Linux,NVIDIA A100,48,AMD Rome,NDv4 cluster,Microsoft Azure Cluster,Infiniband,Infiniband HDR,North America,50889,179967,06/2021
30,20.0,48,5,Cori,"Cray XC40, Intel Xeon Phi 7250 68C 1.4GHz, Aries interconnect ",DOE/SC/LBNL/NERSC,Cray/HPE,United States,2016,Research,622336,,14014.7,27880.653,6984960.0,,355.442,3939.0,Submitted,3.557933486,,MPP,Intel Xeon Phi 7250 68C 1.4GHz,Intel Xeon Phi,1400,Cray Linux Environment ,Linux,,68,Intel Xeon Phi,Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,North America,48429,178924,06/2021
31,21.0,51,11,Nurion,"Cray CS500, Intel Xeon Phi 7250 68C 1.4GHz, Intel Omni-Path",Korea Institute of Science and Technology Information,Cray/HPE,South Korea,2018,Research,570020,,13929.3,25705.9,10076976.0,,391.453,,,,,Cluster,Intel Xeon Phi 7250 68C 1.4GHz,Intel Xeon Phi,1400,CentOS,Linux,,68,Intel Xeon Phi,Cray CS500,Cray CS,Omnipath,Intel Omni-Path,Asia,50770,179421,06/2021
32,22.0,48,6,Oakforest-PACS,"PRIMERGY CX1640 M1, Intel Xeon Phi 7250 68C 1.4GHz, Intel Omni-Path",Joint Center for Advanced High Performance Computing,Fujitsu,Japan,2016,Academic,556104,,13554.6,24913.459,9938880.0,,385.479,2718.7,Submitted,4.985691691,,Cluster,Intel Xeon Phi 7250 68C 1.4GHz,Intel Xeon Phi,1400,Linux,Linux,,68,Intel Xeon Phi,PRIMERGY CX1640 M1,Fujitsu Cluster,Omnipath,Intel Omni-Path,Asia,50673,178932,06/2021
33,23.0,51,13,HPC4,"Proliant DL380 Gen10, Xeon Platinum 8160  24C 2.1GHz, Mellanox InfiniBand EDR, NVIDIA Tesla P100",Eni S.p.A.,HPE,Italy,2018,Industry,253600,177520.0,12210.0,18621.138,5947392.0,,271.872,1320.0,Submitted,9.25,,Cluster,Xeon Platinum 8160  24C 2.1GHz,Intel Skylake,2100,RHEL 7.4,Linux,NVIDIA Tesla P100,24,Xeon Platinum,Proliant DL380 Gen10,HP Cluster Platform 3000,Infiniband,Mellanox InfiniBand EDR,Europe,50489,179444,06/2021
34,24.0,51,14,Tera-1000-2,"Bull Sequana X1000, Intel Xeon Phi 7250 68C 1.4GHz, Bull BXI 1.2",Commissariat a l'Energie Atomique (CEA),Atos,France,2017,Research,561408,,11965.5,23396.352,10321920.0,,333.762,3178.0,Submitted,3.765103839,,Cluster,Intel Xeon Phi 7250 68C 1.4GHz,Intel Xeon Phi,1400,bullx SCS,Linux,,68,Intel Xeon Phi,BullSequana X1000,BullSequana,Custom Interconnect,Bull BXI 1.2,Europe,47593,179412,06/2021
35,25.0,49,12,Stampede2,"PowerEdge C6320P/C6420, Intel Xeon Phi 7250 68C 1.4GHz/Platinum 8160, Intel Omni-Path",Texas Advanced Computing Center/Univ. of Texas,Dell EMC,United States,2017,Academic,367024,,10680.7,18309.222,8242944.0,,,,,,,Cluster,Intel Xeon Phi 7250 68C 1.4GHz,Intel Xeon Phi,1400,CentOS,Linux,,68,Intel Xeon Phi,PowerEdge C6320P,Dell PowerEdge Cluster,Omnipath,Intel Omni-Path,North America,48958,179045,06/2021
36,,57,36,MeluXina - Accelerator Module,"BullSequana XH2000, AMD EPYC 7452 32C 2.35GHz, NVIDIA A100 40GB, Mellanox HDR InfiniBand/ParTec ParaStation ClusterSuite",LuxProvide,Atos,Luxembourg,2021,Research,99200,86400.0,10520.0,15288.0,2040192.0,,280.026,390.25,Submitted,26.9570788,,Cluster,AMD EPYC 7452 32C 2.35GHz,AMD Zen-2 (Rome),2350,RHEL compatible,Linux,NVIDIA A100 40GB,32,AMD Rome,BullSequana XH2000,BullSequana,Infiniband,Mellanox HDR InfiniBand/ParTec ParaStation ClusterSuite,Europe,50882,179932,06/2021
37,,57,37,Cactus,"HPE Cray EX, AMD EPYC 7742 64C 2.25GHz, Slingshot-10",GDIT/NOAA/WCOSS,HPE,United States,2021,Government,327680,,10013.0,11796.48,8413184.0,,,,,,,MPP,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),2250,Cray OS,Linux,,64,AMD Rome,HPE Cray EX,HPE Cray EX,Gigabit Ethernet,Slingshot-10,North America,50879,179944,06/2021
38,,57,38,Dogwood,"HPE Cray EX, AMD EPYC 7742 64C 2.25GHz, Slingshot-10",GDIT/NOAA/WCOSS,HPE,United States,2020,Government,327680,,10013.0,11796.48,8413184.0,,,,,,,MPP,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),2250,Cray OS,Linux,,64,AMD Rome,HPE Cray EX,HPE Cray EX,Gigabit Ethernet,Slingshot-10,North America,50879,179945,06/2021
39,,57,39,Earth Simulator -SX-Aurora TSUBASA,"SX-Aurora TSUBASA A401-8, Vector Engine Type20B 8C 1.6GHz, Infiniband HDR200",Japan Agency for Marine-Earth Science and Technology,NEC,Japan,2021,Research,43776,,9990.7,13447.99,5571072.0,,747.8,1390.95,Submitted,7.182644955,,Cluster,Vector Engine Type20B 8C 1.6GHz,NEC Vector Engine,1600,VEOS,Linux,,8,Vector Engine,SX-Aurora TSUBASA B401-8,SX-Aurora TSUBASA,Infiniband,Infiniband HDR200,Asia,49318,179927,06/2021
40,,57,40,Amazon EC2 Instance Cluster us-east-1a,"Amazon EC2 r5.24xlarge, Xeon Platinum 8260 24C 2.4GHz, 25G Ethernet",Descartes Labs,Amazon Web Services,United States,2019,Industry,172692,,9950.26,15106.52,7864320.0,,,,,,,Cluster,Xeon Platinum 8124M 18C 3GHz,Intel Skylake,3000,Amazon Linux 2,Linux,,18,Xeon Platinum,Amazon EC2 r5.24xlarge,Amazon EC2,Gigabit Ethernet,25G Ethernet,North America,50808,179974,06/2021
41,,57,41,NVIDIA Cambridge-1 DGX SuperPOD,"NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100 80GB​, Infiniband HDR",NVIDIA Corporation,Nvidia,United States,2021,Vendor,79360,69120.0,9682.0,12047.0,2515968.0,,251.0,,,,,Cluster,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),2250,Ubuntu 20.04.1 LTS,Linux,NVIDIA A100 80GB​,64,AMD Rome,NVIDIA DGX A100,NVIDIA DGX,Infiniband,Infiniband HDR,North America,48448,179960,06/2021
42,26.0,53,22,DGX SuperPOD,"NVIDIA DGX-2H, Xeon Platinum 8174 24C 3.1GHz, NVIDIA Tesla V100, Mellanox InfiniBand EDR",NVIDIA Corporation,Nvidia,United States,2020,Vendor,127488,122880.0,9444.0,11209.114,2519232.0,,199.196,,,,,Cluster,Xeon Platinum 8174 24C 3.1GHz,Intel Skylake,3100,Ubuntu 18.04.01,Linux,NVIDIA Tesla V100,24,Xeon Platinum,NVIDIA DGX-2H Pod,NVIDIA DGX,Infiniband,Mellanox InfiniBand EDR,North America,48448,179691,06/2021
43,,57,43,JURECA Data Centric Module,"BullSequana XH2000, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100 40GB, Mellanox HDR InfiniBand/ParTec ParaStation ClusterSuite",Forschungszentrum Juelich (FZJ),Atos,Germany,2021,Research,105840,81648.0,9330.0,14508.0,1928448.0,,273.784,384.1,Submitted,24.29054934,,Cluster,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),2250,CentOS,Linux,NVIDIA A100 40GB,64,AMD Rome,BullSequana XH2000,BullSequana,Infiniband,Mellanox HDR InfiniBand/ParTec ParaStation ClusterSuite,Europe,47871,179947,06/2021
44,27.0,55,24,Gadi,"PRIMERGY CX2570 M5, ThinkSystem SD650, Xeon Platinum 8274/8268, NVIDIA Tesla V100 SXM2, Mellanox HDR Infiniband",National Computational Infrastructure (NCI Australia),Fujitsu / Lenovo,Australia,2020,Academic,204032,51200.0,9264.31,15142.1952,7150464.0,,,,,,,Cluster,Xeon Platinum 8274 24C 3.2GHz,Intel Cascade lake,3200,CentOS,Linux,NVIDIA Tesla V100 SXM2,24,Xeon Platinum 82xx (Cascade Lake),PRIMERGY CX2570 M5,Fujitsu PRIMERGY,Infiniband,Mellanox HDR Infiniband,Oceania,47369,179865,06/2021
45,28.0,52,20,Taiwania 2,"QCT QuantaGrid D52G-4U/LC, Xeon Gold 6154 18C 3GHz, Mellanox InfiniBand EDR, NVIDIA Tesla V100 SXM2",National Center for High Performance Computing,Quanta Computer / Taiwan Fixed Network / ASUS Cloud,Taiwan,2018,Research,170352,161280.0,9000.0,15208.23,2862720.0,,,797.54,Submitted,11.28470045,,Cluster,Xeon Gold 6154 18C 3GHz,Intel Skylake,3000,CentOS,Linux,NVIDIA Tesla V100 SXM2,18,Xeon Gold,QCT QuantaGrid D52G-4U/LC,QCT QuantaGrid,Infiniband,Mellanox InfiniBand EDR,Asia,48468,179590,06/2021
46,,57,46,Dragão,"Supermicro SYS-4029GP-TVRT, Xeon Gold 6230R 26C 2.1GHz, NVIDIA Tesla V100, Infiniband EDR",Petróleo Brasileiro S.A,Atos,Brazil,2021,Industry,188224,174080.0,8983.0,14006.48,2913408.0,,,943.12,Submitted,9.524768852,,Cluster,Xeon Gold 6230R 26C 2.1GHz,Intel Cascade lake,2100,CentOS Linux 7,Linux,NVIDIA Tesla V100,26,Xeon Gold 62xx (Cascade Lake),Supermicro SYS-4029GP-TVRT,Supermicro Cluster,Infiniband,Infiniband EDR,South America,49587,179941,06/2021
47,,57,47,Raven-GPU,"ThinkSystem SD650-N V2, Xeon Platinum 8360Y 36C 2.4GHz, NVIDIA A100, Mellanox HDR Infiniband",Max-Planck-Gesellschaft MPI/IPP,Lenovo,Germany,2021,Research,96768,82944.0,8620.0,16031.54,1959552.0,,,377.0,Submitted,22.86472149,,Cluster,Xeon Platinum 8360Y 36C 2.4GHz,Intel Ice Lake,2400,SUSE Linux Enterprise Server 15 SP2,Linux,NVIDIA A100,36,Xeon® Platinum 83xx (Ice Lake),ThinkSystem SD650-N V2,Lenovo ThinkSystem,Infiniband,Mellanox HDR Infiniband,Europe,48331,179933,06/2021
48,29.0,54,24,AiMOS,"IBM Power System AC922, IBM POWER9 20C 3.45GHz, NVIDIA Volta GV100, Dual-rail Mellanox EDR Infiniband",Rensselaer Polytechnic Institute Center for Computational Innovations (CCI),IBM,United States,2019,Academic,130000,120000.0,8339.0,11032.032,3809280.0,,,512.08,Submitted,16.28456491,,Cluster,IBM POWER9 20C 3.45GHz,Power,3450,RHEL 7.6,Linux,NVIDIA Volta GV100,20,IBM POWER9,IBM Power System AC922, IBM Power Systems,Infiniband,Dual-rail Mellanox EDR Infiniband,North America,50823,179781,06/2021
49,30.0,56,30,Taranis,"Bull Sequana XH2000 , AMD EPYC 7742 64C 2.25GHz, Mellanox InfiniBand HDR100",Meteo France,Atos,France,2020,Research,294912,,8191.03,10321.92,7741440.0,,,1672.0,Submitted,4.898941388,,Cluster,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),2250,bullx SCS,Linux,,64,AMD Rome,BullSequana XH2000,BullSequana,Infiniband,Mellanox InfiniBand HDR100,Europe,48356,179892,06/2021
