Rank,Site,Manufacturer,Computer,Country,Year,Processors,RMax,RPeak,Nmax,Nhalf,Processor Family,Processor,Proc. Frequency,System Family,Operating System,Architecture,Segment,Application Area,Interconnect Family,Interconnect,Region,Continent,Publication Date
98,"LASG/Institute of Atmospheric Physics, CAS",lenovo,DeepComp 1800 - P4 Xeon 2.4 GHz - Myrinet,China,2002,256,711.7,1228.0,106304,29952,Intel IA-32,Intel IA-32 Pentium 4 Xeon,2400.0,Legend,Linux,Cluster,Academic,Not Specified,Myrinet,Myrinet,Eastern Asia,Asia,06/2003
99,NCSA,IBM,pSeries 690 Turbo 1.3GHz GigEth,United States,2003,384,708.0,1996.8,0,0,Power,POWER4,1300.0,IBM pSeries,AIX,MPP,Academic,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2003
100,Texas Advanced Computing Center/Univ. of Texas,IBM,pSeries p690/p655 1.3GHz,United States,2002,224,704.8,1164.8,0,0,Power,POWER4,1300.0,IBM pSeries,AIX,MPP,Academic,Not Specified,SP Switch,Colony,North America,Americas,06/2003
101,Japan Meteorological Agency,Hitachi,SR8000-E1/80,Japan,2000,80,691.3,768.0,120000,9408,Hitachi SR8000,Hitachi SR8000,300.0,Hitachi SR8xxx,HI-UX/MPP,MPP,Research,Weather and Climate Research,Crossbar,Multi-dimensional crossbar,Eastern Asia,Asia,06/2003
102,Los Alamos National Laboratory/ACL,SGI,ORIGIN 2000 250 MHz,United States,1999,2048,690.9,1024.0,229248,80640,MIPS,MIPS R10000,250.0,SGI Origin,IRIX,MPP,Research,Not Specified,Crossbar,Hypercube,North America,Americas,06/2003
103,ERDC MSRC,Hewlett-Packard,"AlphaServer SC40, 833 MHz",United States,2002,512,690.9,853.0,185000,40000,Alpha,Alpha EV68,833.3,HP AlphaServer SC/GS,Tru64 UNIX,Cluster,Research,Not Specified,Quadrics,Quadrics,North America,Americas,06/2003
104,Compagnie Generale de Geophysique (CGG),IBM,xSeries Cluster Xeon 2.4 GHz - Myrinet,United Kingdom,2003,320,682.6,1536.0,0,0,Intel IA-32,Intel IA-32 Pentium 4 Xeon,2400.0,IBM Cluster,Linux,Cluster,Industry,Geophysics,Myrinet,Myrinet,Northern Europe,Europe,06/2003
105,Brigham Young University,IBM,xSeries Cluster Xeon 2.4 GHz - Myrinet,United States,2003,256,682.6,1228.8,0,0,Intel IA-32,Intel IA-32 Pentium 4 Xeon,2400.0,IBM Cluster,Linux,Cluster,Academic,Not Specified,Myrinet,Myrinet,North America,Americas,06/2003
106,South Australian Partnership for Advanced Computing (SAPAC),IBM,xSeries Cluster Xeon 2.4 GHz - Myrinet,Australia,2003,256,682.6,1228.8,0,0,Intel IA-32,Intel IA-32 Pentium 4 Xeon,2400.0,IBM Cluster,Linux,Cluster,Academic,Not Specified,Myrinet,Myrinet,Australia and New Zealand,Oceania,06/2003
107,American Museum of Natural History,Linux Labs,Demeter - P4 Xeon 2.6 Ghz - Myrinet,United States,2003,240,680.3,1248.0,163750,25400,Intel IA-32,Intel IA-32 Pentium 4 Xeon,2600.0,NOW - Intel Pentium,Linux,Cluster,Research,Not Specified,Myrinet,Myrinet,North America,Americas,06/2003
108,Altria Group - Philip Morris Management,IBM,pSeries 690 Turbo 1.3GHz,United States,2002,240,680.0,1248.0,0,0,Power,POWER4,1300.0,IBM pSeries,AIX,MPP,Industry,Database,SP Switch,Colony,North America,Americas,06/2003
109,COLSA,IBM,pSeries 690 Turbo 1.3GHz,United States,2002,240,680.0,1248.0,0,0,Power,POWER4,1300.0,IBM pSeries,AIX,MPP,Industry,Not Specified,SP Switch,Colony,North America,Americas,06/2003
110,US Department of the Treasury,IBM,pSeries 690 Turbo 1.3GHz,United States,2002,240,680.0,1248.0,0,0,Power,POWER4,1300.0,IBM pSeries,AIX,MPP,Government,Database,SP Switch,Colony,North America,Americas,06/2003
111,NCSA,IBM,Titan Cluster Itanium 800 MHz,United States,2001,320,677.9,1024.0,183000,32000,Intel IA-64,Intel IA-64 Itanium,800.0,NOW - Intel Itanium,Linux,Cluster,Academic,Not Specified,Fast Ethernet,Fast Ethernet,North America,Americas,06/2003
112,Cray Inc.,Cray Inc.,Cray X1,United States,2003,60,675.5,768.0,168960,17610,Cray,Cray X1,800.0,Cray X1,UNICOS,MPP,Vendor,Not Specified,Crossbar,Crossbar,North America,Americas,06/2003
113,Cray Inc.,Cray Inc.,Cray X1,United States,2003,60,675.5,768.0,168960,17610,Cray,Cray X1,800.0,Cray X1,UNICOS,MPP,Vendor,Not Specified,Crossbar,Crossbar,North America,Americas,06/2003
114,Government,Cray Inc.,Cray X1,United States,2003,60,675.5,768.0,168960,17610,Cray,Cray X1,800.0,Cray X1,UNICOS,MPP,Classified,Not Specified,Crossbar,Crossbar,North America,Americas,06/2003
115,Government,Cray Inc.,Cray X1,United States,2003,60,675.5,768.0,168960,17610,Cray,Cray X1,800.0,Cray X1,UNICOS,MPP,Classified,Not Specified,Crossbar,Crossbar,North America,Americas,06/2003
116,US Army HPC Research Center at NCS,Cray Inc.,Cray X1,United States,2003,60,675.5,768.0,168960,17610,Cray,Cray X1,800.0,Cray X1,UNICOS,MPP,Research,Not Specified,Crossbar,Crossbar,North America,Americas,06/2003
117,US Army HPC Research Center at NCS,Cray Inc.,Cray X1,United States,2003,60,675.5,768.0,168960,17610,Cray,Cray X1,800.0,Cray X1,UNICOS,MPP,Research,Not Specified,Crossbar,Crossbar,North America,Americas,06/2003
118,University of Alaska - ARSC,Cray Inc.,Cray X1,United States,2003,60,675.5,768.0,168960,17610,Cray,Cray X1,800.0,Cray X1,UNICOS,MPP,Academic,Not Specified,Crossbar,Crossbar,North America,Americas,06/2003
119,Fermi National Accelerator Laboratory,Self-made,P4 Xeon Cluster 2.4 GHz - Myrinet,United States,2003,256,671.3,1228.8,100000,20000,Intel IA-32,Intel IA-32 Pentium 4 Xeon,2400.0,NOW - Intel Pentium,Linux,Cluster,Research,Not Specified,Myrinet,Myrinet,North America,Americas,06/2003
120,CSAR at the University of Manchester,Cray Inc.,T3E1200,United Kingdom,2000,812,671.0,974.4,0,0,Alpha,Alpha EV56,598.8,Cray T3E/T3D,UNICOS,MPP,Academic,Not Specified,Cray Interconnect,3-D Torus,Northern Europe,Europe,06/2003
121,"Fraunhofer Institut, Ernst-Mach Institute",IBM,xSeries Cluster Xeon 2.0 GHz - Myrinet,Germany,2003,256,654.7,1024.0,159000,0,Intel IA-32,Intel IA-32 Pentium 4 Xeon,2000.0,IBM Cluster,Linux,Cluster,Research,Not Specified,Myrinet,Myrinet,Western Europe,Europe,06/2003
122,CBRC - Tsukuba Advanced Computing Center - TACC/AIST,NEC,Magi Cluster PIII 933 MHz,Japan,2001,1040,654.0,970.0,217600,29000,Intel IA-32,Intel IA-32 Pentium 3,933.0,NOW - Intel Pentium,Linux,Cluster,Research,Not Specified,Myrinet,Myrinet,Eastern Asia,Asia,06/2003
123,Boeing - Rocketdyne Power and Propulsion,Dell,PowerEdge 2650 Cluster P4 Xeon 2.4 GHz - GigE,United States,2003,264,650.0,1267.2,0,0,Intel IA-32,Intel IA-32 Pentium 4 Xeon,2400.0,Dell PowerEdge Cluster,Linux,Cluster,Industry,Aerospace,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2003
124,Victorian Partnership for Advanced Computing (VPAC),IBM,xSeries Cluster Xeon 2.8 GHz - Myrinet,Australia,2003,192,629.7,1075.0,0,0,Intel IA-32,Intel IA-32 Pentium 4 Xeon,2800.0,IBM Cluster,Linux,Cluster,Academic,Not Specified,Myrinet,Myrinet,Australia and New Zealand,Oceania,06/2003
125,Semiconductor Company (F),IBM,xSeries Cluster Xeon 2.4 GHz - Gig-E,India,2003,574,626.1,2755.2,0,0,Intel IA-32,Intel IA-32 Pentium 4 Xeon,2400.0,IBM Cluster,Linux,Cluster,Industry,Software,Gigabit Ethernet,Gigabit Ethernet,South-central Asia,Asia,06/2003
126,Institute of High Performance Computing (IHPC),IBM,pSeries 690 Turbo 1.3GHz,Singapore,2002,224,623.9,1164.8,135000,0,Power,POWER4,1300.0,IBM pSeries,AIX,MPP,Academic,Not Specified,SP Switch,Colony,South-eastern Asia,Asia,06/2003
127,Manufacturer (G),IBM,pSeries 690 Turbo 1.3GHz,United States,2002,224,623.9,1164.8,135000,0,Power,POWER4,1300.0,IBM pSeries,AIX,MPP,Industry,Automotive,SP Switch,Colony,North America,Americas,06/2003
128,IBM,IBM,pSeries 690 1.1GHz,United States,2003,256,623.0,1126.4,0,0,Power,POWER4,1100.0,IBM pSeries,AIX,MPP,Vendor,Not Specified,SP Switch,Colony,North America,Americas,06/2003
129,University of Utah,Dell,PowerEdge 2650 Cluster P4 Xeon 2.4 GHz - GigE,United States,2002,256,618.3,1228.8,166000,51000,Intel IA-32,Intel IA-32 Pentium 4 Xeon,2400.0,Dell PowerEdge Cluster,Linux,Cluster,Academic,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2003
130,Real World Computing (RWCP)/Tsukuba Research Center,Self-made,SCore IIIe/PIII 933 MHz,Japan,2001,1024,618.3,955.4,146000,23000,Intel IA-32,Intel IA-32 Pentium 3,933.0,NOW - Intel Pentium,Linux,Cluster,Research,Not Specified,Myrinet,Myrinet,Eastern Asia,Asia,06/2003
131,Meteorological Service of Canada (MSC),NEC,SX-6/80M10,Canada,2002,80,616.9,640.0,0,0,NEC,NEC,1000.0,NEC Vector,Super-UX,MPP,Research,Weather and Climate Research,Crossbar,Multi-stage crossbar,North America,Americas,06/2003
132,Petroleum Company (G),IBM,xSeries Cluster Xeon 2.4 GHz - Gig-E,Saudia Arabia,2003,562,609.4,2697.6,0,0,Intel IA-32,Intel IA-32 Pentium 4 Xeon,2400.0,IBM Cluster,Linux,Cluster,Industry,Geophysics,Gigabit Ethernet,Gigabit Ethernet,Western Asia,Asia,06/2003
133,University of Oklahoma,Aspen Systems Inc.,P4 Xeon Cluster 2 GHz - Myrinet,United States,2002,270,606.9,1080.0,160000,35840,Intel IA-32,Intel IA-32 Pentium 4 Xeon,2000.0,NOW - Intel Pentium,Linux,Cluster,Academic,Not Specified,Myrinet,Myrinet,North America,Americas,06/2003
134,NCSA,IBM,Netfinity Cluster PIII 1 GHz - Myrinet,United States,2001,1024,594.0,1024.0,0,0,Intel IA-32,Intel IA-32 Pentium 3,1000.0,IBM Cluster,Linux,Cluster,Academic,Not Specified,Myrinet,Myrinet,North America,Americas,06/2003
135,Wachovia Corporation,IBM,pSeries 690 Turbo 1.3GHz,United States,2002,208,591.0,1081.6,0,0,Power,POWER4,1300.0,IBM pSeries,AIX,MPP,Industry,Finance,SP Switch,Colony,North America,Americas,06/2003
136,CNRS/IDRIS,IBM,"pSeries 690 Turbo 1.3 GHz, GigEth",France,2002,256,590.2,1331.2,158000,0,Power,POWER4,1300.0,IBM pSeries,AIX,MPP,Academic,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Western Europe,Europe,06/2003
137,Postbank,IBM,"pSeries 690 Turbo 1.3 GHz, GigEth",Germany,2002,256,590.2,1331.2,158000,0,Power,POWER4,1300.0,IBM pSeries,AIX,MPP,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,Western Europe,Europe,06/2003
138,Sprint PCS,IBM,SP Power3 375 MHz 16 way,United States,2002,528,579.0,792.0,0,0,Power,POWER3,375.0,IBM SP,AIX,MPP,Industry,Telecomm,SP Switch,SP Switch,North America,Americas,06/2003
139,University of Tokyo/Institute for Solid State Physics,Hitachi,SR8000-F1/60,Japan,2000,60,577.0,720.0,89000,10000,Hitachi SR8000,Hitachi SR8000,375.0,Hitachi SR8xxx,HI-UX/MPP,MPP,Academic,Not Specified,Crossbar,Multi-dimensional crossbar,Eastern Asia,Asia,06/2003
140,Naval Research Laboratory (NRL),Appro International,1200X P4 Xeon 2.2 GHz - Myrinet,United States,2002,256,575.0,1126.4,112500,22500,Intel IA-32,Intel IA-32 Pentium 4 Xeon,2200.0,NOW - Intel Pentium,Linux,Cluster,Research,Not Specified,Myrinet,Myrinet,North America,Americas,06/2003
141,PIK,IBM,pSeries 655 1.1GHz,Germany,2003,240,574.9,1056.0,150000,0,Power,POWER4,1100.0,IBM pSeries,AIX,MPP,Research,Not Specified,SP Switch,Colony,Western Europe,Europe,06/2003
142,Telecom Italia,IBM,pSeries 690 Turbo 1.3GHz,Italy,2002,200,574.0,1040.0,0,0,Power,POWER4,1300.0,IBM pSeries,AIX,MPP,Industry,Telecomm,SP Switch,Colony,Southern Europe,Europe,06/2003
143,University of Zurich - Institute for Theoretical Physics,Self-made,"zBox, AMD AthlonMP 1.8 GHz - SCI 2D",Switzerland,2003,288,570.1,1036.8,117500,23000,AMD,AMD Athlon,1800.0,NOW - AMD,Linux,Cluster,Academic,Not Specified,SCI,SCI,Western Europe,Europe,06/2003
144,IBM Thomas J. Watson Research Center,IBM,SP Power3 375 MHz 16 way,United States,2002,520,570.0,780.0,0,0,Power,POWER3,375.0,IBM SP,AIX,MPP,Research,Not Specified,SP Switch,SP Switch,North America,Americas,06/2003
145,Japan Atomic Energy Research Institute,Fujitsu,VPP5000/64,Japan,2001,64,563.0,614.4,235776,12288,Fujitsu,Fujitsu,300.0,Fujitsu VPP,UXP/V,MPP,Research,Not Specified,Crossbar,Full distributed crossbar,Eastern Asia,Asia,06/2003
146,Kyushu University,Fujitsu,VPP5000/64,Japan,2000,64,563.0,614.4,235776,12288,Fujitsu,Fujitsu,300.0,Fujitsu VPP,UXP/V,MPP,Academic,Not Specified,Crossbar,Full distributed crossbar,Eastern Asia,Asia,06/2003
147,Meteo-France,Fujitsu,VPP5000/64,France,2003,64,563.0,614.4,235776,12288,Fujitsu,Fujitsu,300.0,Fujitsu VPP,UXP/V,MPP,Research,Weather and Climate Research,Crossbar,Full distributed crossbar,Western Europe,Europe,06/2003
148,Petroleum Company (G),IBM,SP Power3 375 MHz 16 way,Saudia Arabia,2001,512,561.0,768.0,0,0,Power,POWER3,375.0,IBM SP,AIX,MPP,Industry,Geophysics,SP Switch,SP Switch,Western Asia,Asia,06/2003
149,US Army Research Laboratory (ARL),IBM,SP Power3 375 MHz 16 way,United States,2000,512,561.0,768.0,0,0,Power,POWER3,375.0,IBM SP,AIX,MPP,Research,Not Specified,SP Switch,SP Switch,North America,Americas,06/2003
150,ID-IMAG / INRIA Rhone-Alpes,Hewlett-Packard,Cluster Platform 6000 rx2600 Itanium2 900 MHz Cluster - Myrinet,France,2003,208,561.0,748.8,0,0,Intel IA-64,Intel IA-64 Itanium 2,900.0,HP Cluster Platform 6000,Linux,Cluster,Research,Not Specified,Myrinet,Myrinet,Western Europe,Europe,06/2003
151,EDS/ Adam Opel AG,IBM,pSeries 690 Turbo 1.3GHz,Germany,2002,192,558.2,998.4,245000,22000,Power,POWER4,1300.0,IBM pSeries,AIX,MPP,Industry,Automotive,SP Switch,Colony,Western Europe,Europe,06/2003
152,Deutsche Telekom AG,IBM,SP Power3 375 MHz,Germany,2000,528,553.0,792.0,0,0,Power,POWER3,375.0,IBM SP,AIX,MPP,Industry,Telecomm,SP Switch,SP Switch,Western Europe,Europe,06/2003
153,Wright-Patterson Air Force Base/DoD ASC,IBM,SP Power3 375 MHz,United States,2000,528,553.0,792.0,0,0,Power,POWER3,375.0,IBM SP,AIX,MPP,Research,Defense,SP Switch,SP Switch,North America,Americas,06/2003
154,ERDC MSRC,SGI,ORIGIN 3000 700 MHz,United States,2003,512,553.0,716.8,230000,0,MIPS,MIPS R16000,700.0,SGI Origin,IRIX,MPP,Research,Not Specified,NUMAflex,NUMAflex,North America,Americas,06/2003
155,ERDC MSRC,SGI,ORIGIN 3000 700 MHz,United States,2003,512,553.0,716.8,230000,0,MIPS,MIPS R16000,700.0,SGI Origin,IRIX,MPP,Research,Not Specified,NUMAflex,NUMAflex,North America,Americas,06/2003
156,Wright-Patterson Air Force Base/DoD ASC,SGI,ORIGIN 3000 700 MHz,United States,2003,512,553.0,716.8,230000,0,MIPS,MIPS R16000,700.0,SGI Origin,IRIX,MPP,Research,Not Specified,NUMAflex,NUMAflex,North America,Americas,06/2003
157,Wright-Patterson Air Force Base/DoD ASC,SGI,ORIGIN 3000 700 MHz,United States,2003,512,553.0,716.8,230000,0,MIPS,MIPS R16000,700.0,SGI Origin,IRIX,MPP,Research,Not Specified,NUMAflex,NUMAflex,North America,Americas,06/2003
158,Wright-Patterson Air Force Base/DoD ASC,SGI,ORIGIN 3000 700 MHz,United States,2003,512,553.0,716.8,230000,0,MIPS,MIPS R16000,700.0,SGI Origin,IRIX,MPP,Research,Not Specified,NUMAflex,NUMAflex,North America,Americas,06/2003
159,United Kingdom Meteorological Office,Cray Inc.,T3E900,United Kingdom,1997,876,552.0,788.4,0,0,Alpha,Alpha EV5,450.5,Cray T3E/T3D,UNICOS,MPP,Research,Weather and Climate Research,Cray Interconnect,3-D Torus,Northern Europe,Europe,06/2003
160,Petroleum Company (A),IBM,xSeries Cluster Xeon 2.4 GHz - Gig-E,United States,2003,520,551.2,2496.0,0,0,Intel IA-32,Intel IA-32 Pentium 4 Xeon,2400.0,IBM Cluster,Linux,Cluster,Industry,Geophysics,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2003
161,"University of Michigan, Center for Advanced Computing",Atipa Technology,AMD AthlonMP Cluster 1.667 GHz - Myrinet,United States,2003,256,550.0,853.5,160000,30000,AMD,AMD Athlon,1666.7,NOW - AMD,Linux,Cluster,Academic,Not Specified,SCI,SCI 3D-Torus,North America,Americas,06/2003
162,State Farm,IBM,SP Power3 375 MHz,United States,2001,520,546.0,780.0,0,0,Power,POWER3,375.0,IBM SP,AIX,MPP,Industry,Database,SP Switch,SP Switch,North America,Americas,06/2003
163,Compagnie Generale de Geophysique (CGG),IBM,xSeries Cluster Xeon 2.4 GHz - Gig-E,Malaysia,2003,512,540.2,2457.6,224200,0,Intel IA-32,Intel IA-32 Pentium 4 Xeon,2400.0,IBM Cluster,Linux,Cluster,Industry,Geophysics,Gigabit Ethernet,Gigabit Ethernet,South-eastern Asia,Asia,06/2003
164,Lockheed Martin,IBM,xSeries Cluster Xeon 2.4 GHz - Gig-E,United States,2003,512,540.2,2457.6,224200,0,Intel IA-32,Intel IA-32 Pentium 4 Xeon,2400.0,IBM Cluster,Linux,Cluster,Industry,Aerospace,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2003
165,Wright-Patterson Air Force Base/DoD ASC,Hewlett-Packard,"AlphaServer SC45, 1 GHz",United States,2002,324,540.0,648.0,154000,20000,Alpha,Alpha,1000.0,HP AlphaServer SC/GS,Tru64 UNIX,Cluster,Research,Not Specified,Quadrics,Quadrics,North America,Americas,06/2003
166,Los Alamos National Laboratory,Hewlett-Packard,"ASCI Q - AlphaServer SC45, 1.25 GHz",United States,2002,256,538.4,640.0,160000,22000,Alpha,Alpha,1250.0,HP AlphaServer SC/GS,Tru64 UNIX,Cluster,Research,Not Specified,Quadrics,Quadrics,North America,Americas,06/2003
167,Pharmaceutical Company,IBM,SP Power3 375 MHz,Germany,2001,510,536.0,765.0,0,0,Power,POWER3,375.0,IBM SP,AIX,MPP,Industry,Pharmaceutics,SP Switch,SP Switch,Western Europe,Europe,06/2003
168,Indiana University,IBM,SP Power3 375 MHz,United States,2001,508,534.0,762.0,0,0,Power,POWER3,375.0,IBM SP,AIX,MPP,Academic,Not Specified,SP Switch,SP Switch,North America,Americas,06/2003
169,Center for Development of Advanced Computing (C-DAC),C-DAC,PARAM Padma Cluster - pSeries 630 1.0GHz - PARAMNet,India,2003,248,532.0,992.0,224000,43895,Power,POWER4,1000.0,IBM pSeries,AIX,MPP,Research,Not Specified,PARAMNet,PARAMNet-II,South-central Asia,Asia,06/2003
170,Amdocs,Hewlett-Packard,SuperDome 875 MHz/HyperPlex,United States,2003,256,530.5,896.0,0,0,PA-RISC,PA-RISC PA-8700+,875.0,HP Superdome,HP Unix (HP-UX),Constellations,Industry,Telecomm,Myrinet,HyperPlex,North America,Americas,06/2003
171,IT Telecom S.P.A.,Hewlett-Packard,SuperDome 875 MHz/HyperPlex,Italy,2003,256,530.5,896.0,0,0,PA-RISC,PA-RISC PA-8700+,875.0,HP Superdome,HP Unix (HP-UX),Constellations,Industry,Telecomm,Myrinet,HyperPlex,Southern Europe,Europe,06/2003
172,OverWrite,Hewlett-Packard,SuperDome 875 MHz/HyperPlex,Germany,2003,256,530.5,896.0,0,0,PA-RISC,PA-RISC PA-8700+,875.0,HP Superdome,HP Unix (HP-UX),Constellations,Industry,Telecomm,Myrinet,HyperPlex,Western Europe,Europe,06/2003
173,OverWrite,Hewlett-Packard,SuperDome 875 MHz/HyperPlex,United Kingdom,2002,256,530.5,896.0,0,0,PA-RISC,PA-RISC PA-8700+,875.0,HP Superdome,HP Unix (HP-UX),Constellations,Industry,Database,Myrinet,HyperPlex,Northern Europe,Europe,06/2003
174,POSDATA,Hewlett-Packard,SuperDome 875 MHz/HyperPlex,"Korea, South",2003,256,530.5,896.0,0,0,PA-RISC,PA-RISC PA-8700+,875.0,HP Superdome,HP Unix (HP-UX),Constellations,Industry,Information Processing Service,Myrinet,HyperPlex,Eastern Asia,Asia,06/2003
175,Telecommunication Company,Hewlett-Packard,SuperDome 875 MHz/HyperPlex,United States,2003,256,530.5,896.0,0,0,PA-RISC,PA-RISC PA-8700+,875.0,HP Superdome,HP Unix (HP-UX),Constellations,Industry,Not Specified,Myrinet,HyperPlex,North America,Americas,06/2003
176,SBC Service Inc,Hewlett-Packard,SuperDome 875 MHz/HyperPlex,United States,2003,256,529.6,896.0,0,0,PA-RISC,PA-RISC PA-8700+,875.0,HP Superdome,HP Unix (HP-UX),Constellations,Industry,Telecomm,Myrinet,HyperPlex,North America,Americas,06/2003
177,Sanpaolo Leasint SpA,Hewlett-Packard,SuperDome 875 MHz/HyperPlex,Italy,2003,256,529.6,896.0,0,0,PA-RISC,PA-RISC PA-8700+,875.0,HP Superdome,HP Unix (HP-UX),Constellations,Industry,Database,Myrinet,HyperPlex,Southern Europe,Europe,06/2003
178,United Kingdom Meteorological Office,Cray Inc.,T3E1200,United Kingdom,1999,636,526.0,763.2,0,0,Alpha,Alpha EV56,598.8,Cray T3E/T3D,UNICOS,MPP,Research,Weather and Climate Research,Cray Interconnect,3-D Torus,Northern Europe,Europe,06/2003
179,"Grid Technology Research Center, AIST",Self-made,Gfarm Cluster I - Xeon 2.8 GHz - GigE,Japan,2003,180,520.7,1008.0,102960,0,Intel IA-32,Intel IA-32 Pentium 4 Xeon,2800.0,NOW - Intel Pentium,Linux,Cluster,Research,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia,06/2003
180,VW (Volkswagen AG),NEC,"Express5800 120RC-1, P4 2.8GHz Cluster - GigE",Germany,2003,256,519.8,1433.6,167000,50000,Intel IA-32,Intel IA-32 Pentium 4 Xeon,2800.0,NOW - Intel Pentium,Linux,Cluster,Industry,Automotive,Gigabit Ethernet,Gigabit Ethernet,Western Europe,Europe,06/2003
181,Lockheed Martin,Hewlett-Packard,SuperDome 875 MHz/HyperPlex,United States,2003,256,517.0,896.0,0,0,PA-RISC,PA-RISC PA-8700+,875.0,HP Superdome,HP Unix (HP-UX),Constellations,Industry,Aerospace,Myrinet,HyperPlex,North America,Americas,06/2003
182,SAT/ISOSA,Hewlett-Packard,SuperDome 875 MHz/HyperPlex,Mexico,2003,256,517.0,896.0,0,0,PA-RISC,PA-RISC PA-8700+,875.0,HP Superdome,HP Unix (HP-UX),Constellations,Industry,Not Specified,Myrinet,HyperPlex,Central America,Americas,06/2003
183,State Farm,IBM,SP Power3 375 MHz,United States,2001,488,512.0,732.0,0,0,Power,POWER3,375.0,IBM SP,AIX,MPP,Industry,Database,SP Switch,SP Switch,North America,Americas,06/2003
184,Hewlett-Packard,Hewlett-Packard,"Cluster Platform DL360G3, Pentium4 Xeon 2.8 GHz, Myrinet",United States,2003,128,511.0,716.8,109000,20000,Intel IA-32,Intel IA-32 Pentium 4 Xeon,2800.0,HP Cluster Platform 3000,Linux,Cluster,Vendor,Benchmarking,Myrinet,Myrinet,North America,Americas,06/2003
185,Hewlett-Packard,Hewlett-Packard,AlphaServer SC ES40/EV67,United States,2000,512,507.6,682.66,200000,30000,Alpha,Alpha EV67,666.7,HP AlphaServer SC/GS,Tru64 UNIX,Cluster,Vendor,Benchmarking,Quadrics,Quadrics,North America,Americas,06/2003
186,Lawrence Livermore National Laboratory,Hewlett-Packard,AlphaServer SC ES40/EV67,United States,2000,512,507.6,682.66,200000,30000,Alpha,Alpha EV67,666.7,HP AlphaServer SC/GS,Tru64 UNIX,Cluster,Research,Not Specified,Quadrics,Quadrics,North America,Americas,06/2003
187,University of Toronto,IBM,xSeries Cluster Xeon 2.4 GHz - Gig-E,Canada,2003,448,505.7,2150.4,0,0,Intel IA-32,Intel IA-32 Pentium 4 Xeon,2400.0,IBM Cluster,Linux,Cluster,Academic,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2003
188,Universitaet Wien,init.at,P4 Cluster 2.53 GHz - GigE,Austria,2003,192,504.3,971.0,151800,40000,Intel IA-32,Intel IA-32 Pentium 4 Xeon,2530.0,NOW - Intel Pentium,Linux,Cluster,Academic,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Western Europe,Europe,06/2003
189,Danish Meteorological Institute,NEC,SX-6/64M8,Denmark,2003,64,495.2,512.0,122880,6656,NEC,NEC,1000.0,NEC Vector,Super-UX,MPP,Research,Weather and Climate Research,Crossbar,Multi-stage crossbar,Northern Europe,Europe,06/2003
190,National Aerospace Laboratory of Japan,NEC,SX-6/64M8,Japan,2002,64,495.2,512.0,122880,6656,NEC,NEC,1000.0,NEC Vector,Super-UX,MPP,Research,Not Specified,Crossbar,Multi-stage crossbar,Eastern Asia,Asia,06/2003
191,National Institute for Environmental Studies,NEC,SX-6/64M8,Japan,2002,64,495.2,512.0,122880,6656,NEC,NEC,1000.0,NEC Vector,Super-UX,MPP,Research,Not Specified,Crossbar,Multi-stage crossbar,Eastern Asia,Asia,06/2003
192,Centre Informatique National (CINES),IBM,SP Power3 375 MHz,France,2001,472,494.0,708.0,0,0,Power,POWER3,375.0,IBM SP,AIX,MPP,Academic,Not Specified,SP Switch,SP Switch,Western Europe,Europe,06/2003
193,Citicorp,IBM,pSeries 690 Turbo 1.3GHz GigEth,United States,2002,200,493.0,1040.0,0,0,Power,POWER4,1300.0,IBM pSeries,AIX,MPP,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2003
194,Nagoya University,Fujitsu,VPP5000/56,Japan,1999,56,492.0,537.6,228480,12768,Fujitsu,Fujitsu,300.0,Fujitsu VPP,UXP/V,MPP,Academic,Not Specified,Crossbar,Full distributed crossbar,Eastern Asia,Asia,06/2003
195,Lawrence Livermore National Laboratory,IBM,SP Power3 375 MHz 16 way,United States,2001,448,491.0,672.0,0,0,Power,POWER3,375.0,IBM SP,AIX,MPP,Research,Not Specified,SP Switch,SP Switch,North America,Americas,06/2003
196,KTH - Royal Institute of Technology,Hewlett-Packard,Cluster Platform 6000 rx2600 Itanium2 900 MHz Cluster - Myrinet,Sweden,2003,180,489.0,648.0,0,0,Intel IA-64,Intel IA-64 Itanium 2,900.0,HP Cluster Platform 6000,Linux,Cluster,Academic,Not Specified,Myrinet,Myrinet,Northern Europe,Europe,06/2003
197,Rice University,Hewlett-Packard,"Cluster Platform 6000 zx6000 Itanium2 900 MHz, Myrinet",United States,2003,174,487.2,626.4,0,0,Intel IA-64,Intel IA-64 Itanium 2,900.0,HP Cluster Platform 6000,Linux,Cluster,Academic,Not Specified,Myrinet,Myrinet,North America,Americas,06/2003
